ID,Category,Name,Sub Category
389,Special_Knowledge,mehrjährige Berufserfahrung in der Entgeltabrechnung,
390,Special_Knowledge,Erfahrung in der Mitarbeit bei Systemanpassungen in SAP R/3 HR,
391,Special_Knowledge,"ausgezeichnete Kenntnisse in SAP R/3 HR, insbesondere Entgeltabrechnung und Zeitwirtschaft",
392,Special_Knowledge,ausgezeichnete Kenntnisse in SAP R/3 HR,
393,Special_Knowledge,Entgeltabrechnung und Zeitwirtschaft,
394,Special_Knowledge,mehrjährige Berufserfahrung in der Entgeltabrechnung und Zeitwirtschaft,
395,Special_Knowledge,Mitarbeit bei Systemanpassungen in SAP R/3 HR,
396,Special_Knowledge,Unterstützung bei Systemanpassungen in SAP R/3 HR,
397,Special_Knowledge,Umgang /Fahren mit/von Flurförderzeugen,
398,Special_Knowledge,Feinmechanik,
399,Special_Knowledge,Bauteilprüfung,
400,Experience,Zollwesen,EU und Nicht EU Importe
401,Special_Knowledge,Versandgeschäft EU und Nicht EU Ausland,
402,Special_Knowledge,zollkonforme Versandabwicklung,
403,Experience,Wareneingangsprüfung,Teileprüfung
404,Special_Knowledge,Wareneingasprüfung,
405,Experience,IFRS-Kenntnisse,Accounting
406,Experience,Accountant,Accounting
407,Education,Aerospace Engineering,Studiengang
408,Education,Mechanical Engineering,Studiengang
409,Experience,"Structural analysis, with application to aircraft structures, in particular to Fuselage Primary & Secondary Structure",Berufserfahrung
410,Special_Knowledge,HyperMesh,
411,Special_Knowledge,"HyperMesh, HyperView, OptiStruct",
412,Special_Knowledge,stress & damage tolerance analysis methods following established standards for CFRP structures,
413,Education,Mechanical Engineering ,Studiengang
414,Experience,"Stress analysis, with application to aircraft control-surface structures and / or aircraft engines",Berufserfahrung
415,Special_Knowledge,conceptual design phase ,
416,Special_Knowledge,stress & fatigue analysis methods following established standards for both CFRP and metallic structures,
417,Special_Knowledge,"•	Detaillierte Kenntnisse bei der Administration von MDM-Systemen (bevorzugt MobileIron, SOTI)",
418,Special_Knowledge,•	Gute Kenntnisse der gängigen Microsoft Server- und Client-Betriebssysteme und der  Microsoft Office-Anwendungen,
419,Experience,Help Desk Technician/ First level support ,Berufserfahrung
420,Special_Knowledge,MacOS,
421,Special_Knowledge,Linux,
422,Additional_Qualification,ASCA,
423,Additional_Qualification,ACSA,
424,Language,Deutsch wünschenswert,
425,Special_Knowledge,Active Directory,
426,Education,abgeschlossenes Studium der Betriebswirtschaftslehre,•	abgeschlossenes Studium der Betriebswirtschaftslehre oder vergleichbare Qualifikation	
427,Special_Knowledge,"•	einschlägige Erfahrung im Einkauf, idealerweise im Bereich von Fracht-, Lager- und Logistikleistungen",
428,Additional_Qualification,sehr gute MS-Office Kenntnisse,
429,Additional_Qualification,Erfahrung mit SAP R/3,
430,Education,industrial electrician ,Ausbildung
431,Experience,Maintenance,Experience
432,Special_Knowledge,electrical standards,
433,Special_Knowledge,multi-kW variable frequency drives or electrical systems up to 1 kV DC,
434,Education,aerospace engineering ,Studium
435,Experience,NVH testing ,Experience
436,Special_Knowledge,"NVH sensors, data acquisition and control systems ",
437,Special_Knowledge,RTCA DO-160 ,
438,Special_Knowledge,"test & test rig development, test execution & data processing",
439,Experience,aerodynamic testing ,Experience
440,Special_Knowledge,"aerodynamic probe design, data acquisition and control systems",
441,Special_Knowledge," test & test rig development, test execution & data processing",
442,Education,mechanical / aerospace engineering ,Studium
443,Experience,"mechanical tests such as bird strike, fan-blade-off and containment",Experience
444,Special_Knowledge,"strain gages, high speed cameras, DIC & related data acquisition and control systems",
445,Education,•	abgeschlossenes Studium der Betriebswirtschaftslehre oder vergleichbare Qualifikation,•	abgeschlossenes Studium der Betriebswirtschaftslehre oder vergleichbare Qualifikation
446,Experience,innerbetrieblicher Transport,Transport
447,Special_Knowledge,Warenimport,
448,Education,Fachkraft für Lagerlogistik/ Apprenticeship of logistic specialist ,Ausbildung
449,Experience,warehouse / intralogistics,Experience
450,Experience,coordinating / leading a team,experience
451,Special_Knowledge,ERP / WMS System ,
452,Education,"mechanical-, mechatronic-, electrical-, aerospace engineering, physics",Studies
453,Experience,"test & test rig instrumentation, test execution & data processing",Experience
454,Special_Knowledge,data acquisition,
455,Special_Knowledge,software programming for DAQ and controller with labview required,
456,Special_Knowledge,selecting instrumentation and amplifiers ,
457,Education,"Electrical/Electronics, Mechanical, Mechatronics Engineering, Physics ",Studies
458,Experience,"Matlab/Simulink, Simulink-RT Modelling, Labview RT and interfacing electronic control unit features into HIL framework",experience
